problem_size,nprocs,mean_runtime,std_runtime,speedup,efficiency,c
165,1,0.3097872036548021,0.0031912277133199956,1.0,1.0,cb
165,2,0.1660287450067699,0.0015568635681444164,1.8658648756404825,0.9329324378202413,cb
165,4,0.10483353196953733,0.0002771720413248256,2.9550392687791964,0.7387598171947991,cb
165,8,0.07676072963901485,0.00021545150214500802,4.035751159631342,0.5044688949539178,cb
165,16,0.06851973000448197,0.0002905155209245761,4.521138709019118,0.28257116931369486,cb
165,24,0.07830786999935906,0.000849651599610622,3.9560162172376505,0.16483400905156878,cb
165,32,0.0911641179700382,0.0007179998007303751,3.398126483893763,0.10619145262168009,cb
1020,1,10.930283649999183,0.035040752631976764,1.0,1.0,cb
1020,2,5.840867031326828,0.06522252000496459,1.8713460846439145,0.9356730423219572,cb
1020,4,2.92879919403155,0.006558994660114329,3.732001726944424,0.933000431736106,cb
1020,8,1.6398437263366457,0.003778817315185466,6.665442245778541,0.8331802807223176,cb
1020,16,0.8230509933394691,0.004889113171251701,13.280202245611001,0.8300126403506876,cb
1020,24,0.6367185293347575,0.005139932991114161,17.16658640580026,0.7152744335750109,cb
1020,32,0.6198712713279141,0.002604881903086827,17.63315087434827,0.5510359648233835,cb
165,1,0.2500962490060677,0.0023022263814174017,1.0,1.0,cs
165,2,0.13706249398334572,0.0010140556474660146,1.8246877153457937,0.9123438576728968,cs
165,4,0.07887572733064492,0.0005846848550195129,3.1707631418430027,0.7926907854607507,cs
165,8,0.05957022998093938,0.00023892615633433766,4.198342848199355,0.5247928560249194,cs
165,16,0.057871095331696175,0.0005886678788963448,4.321609044594828,0.27010056528717674,cs
165,24,0.07166719566642617,0.002065100938126102,3.4896893436452676,0.14540372265188614,cs
165,32,0.0823432276956737,0.001085292086433721,3.0372412644592957,0.09491378951435299,cs
1020,1,8.590970653671926,0.01253427789797715,1.0,1.0,cs
1020,2,4.581205294292886,0.025247195754293763,1.8752642812960758,0.9376321406480379,cs
1020,4,2.3629502936576805,0.012157822204373633,3.6356967290978046,0.9089241822744512,cs
1020,8,1.2556920750066638,0.016382837787359116,6.841622102000074,0.8552027627500093,cs
1020,16,0.6480289923298793,0.011190819959917397,13.257077623617633,0.828567351476102,cs
1020,24,0.5341194559975216,0.0053075790583953985,16.08436194788566,0.6701817478285692,cs
1020,32,0.48025126167340204,0.008494077142766185,17.888491586127827,0.5590153620664946,cs
