problem_size,nprocs,runtime,patch_size,c,run_rep
850,24,3.97735996596748,1,cs,0
850,24,4.018765647953842,1,cs,1
850,24,4.035261570010334,1,cs,2
850,24,1.0517310519935563,2,cs,0
850,24,1.0619961290503852,2,cs,1
850,24,1.042007290001493,2,cs,2
850,24,0.5896090639871545,3,cs,0
850,24,0.597207460028585,3,cs,1
850,24,0.6086751379771158,3,cs,2
850,24,0.48092318401904777,4,cs,0
850,24,0.4800144589971751,4,cs,1
850,24,0.4796078510116786,4,cs,2
850,24,0.427720537991263,5,cs,0
850,24,0.42064305202802643,5,cs,1
850,24,0.414436669962015,5,cs,2
850,24,0.4092588819912635,6,cs,0
850,24,0.4054519139463082,6,cs,1
850,24,0.4156857799971476,6,cs,2
850,24,0.37912388797849417,7,cs,0
850,24,0.3774812829797156,7,cs,1
850,24,0.3824487319798209,7,cs,2
850,24,0.3782708350336179,8,cs,0
850,24,0.3729103630175814,8,cs,1
850,24,0.3942629509838298,8,cs,2
850,24,0.3615479660220444,9,cs,0
850,24,0.3635837020119652,9,cs,1
850,24,0.3629828410339542,9,cs,2
850,24,0.3508542240015231,10,cs,0
850,24,0.3595137129887007,10,cs,1
850,24,0.3506536590284668,10,cs,2
850,24,0.36024593497859314,11,cs,0
850,24,0.3496010380331427,11,cs,1
850,24,0.34908828599145636,11,cs,2
850,24,0.34468501998344436,12,cs,0
850,24,0.34486051299609244,12,cs,1
850,24,0.3411730929510668,12,cs,2
850,24,0.3525601579458453,13,cs,0
850,24,0.35245472798123956,13,cs,1
850,24,0.35562117298832163,13,cs,2
850,24,0.3632665930199437,14,cs,0
850,24,0.4030834269942716,14,cs,1
850,24,0.3623498359811492,14,cs,2
850,24,0.37133249401813373,15,cs,0
850,24,0.35675516800256446,15,cs,1
850,24,0.3634695030050352,15,cs,2
850,24,0.3620536800008267,16,cs,0
850,24,0.3667247159755789,16,cs,1
850,24,0.3624831350171007,16,cs,2
850,24,0.3593054080265574,17,cs,0
850,24,0.35688962298445404,17,cs,1
850,24,0.35781144502107054,17,cs,2
850,24,0.3698313349741511,18,cs,0
850,24,0.35913166298996657,18,cs,1
850,24,0.35895629704464227,18,cs,2
850,24,0.3931331420317292,19,cs,0
850,24,0.39609938295325264,19,cs,1
850,24,0.39832841797033325,19,cs,2
850,24,0.38278122496558353,20,cs,0
850,24,0.39058396499603987,20,cs,1
850,24,0.383905992959626,20,cs,2
850,24,0.38818755000829697,21,cs,0
850,24,0.3863615730078891,21,cs,1
850,24,0.38304160605184734,21,cs,2
850,24,0.38870060205226764,22,cs,0
850,24,0.3922147619887255,22,cs,1
850,24,0.3896566550247371,22,cs,2
850,24,0.41708482697140425,23,cs,0
850,24,0.40252652601338923,23,cs,1
850,24,0.40286319702863693,23,cs,2
850,24,0.412268195010256,24,cs,0
850,24,0.4147690960089676,24,cs,1
850,24,0.4087955389986746,24,cs,2
850,24,0.4137671639909968,25,cs,0
850,24,0.4270167580107227,25,cs,1
850,24,0.44339970604050905,25,cs,2
850,24,0.39593831601087004,26,cs,0
850,24,0.408759135985747,26,cs,1
850,24,0.4012046179850586,26,cs,2
850,24,0.43014837004011497,27,cs,0
850,24,0.4335477119893767,27,cs,1
850,24,0.4326228499994613,27,cs,2
850,24,0.44557471200823784,28,cs,0
850,24,0.44702957599656656,28,cs,1
850,24,0.4422429349506274,28,cs,2
850,24,0.4503385790158063,29,cs,0
850,24,0.46510938298888505,29,cs,1
850,24,0.4473076239810325,29,cs,2
850,24,0.4594890660373494,30,cs,0
850,24,0.475473714992404,30,cs,1
850,24,0.46088936895830557,30,cs,2
850,24,0.45379173796391115,31,cs,0
850,24,0.46470949199283496,31,cs,1
850,24,0.4542308209929615,31,cs,2
850,24,0.4110951969632879,32,cs,0
850,24,0.4094738810090348,32,cs,1
850,24,0.41234106599586084,32,cs,2
850,24,0.45445978501811624,33,cs,0
850,24,0.46203038399107754,33,cs,1
850,24,0.46343474299646914,33,cs,2
850,24,0.4462937630014494,34,cs,0
850,24,0.4289925679913722,34,cs,1
850,24,0.4252198660396971,34,cs,2
850,24,0.4339712329674512,35,cs,0
850,24,0.4339624550193548,35,cs,1
850,24,0.4267462409916334,35,cs,2
850,24,0.44887145195389166,36,cs,0
850,24,0.4476173379807733,36,cs,1
850,24,0.4503356830100529,36,cs,2
850,24,0.4809683210332878,37,cs,0
850,24,0.48323304601944983,37,cs,1
850,24,0.48842352704377845,37,cs,2
850,24,0.49142863001907244,38,cs,0
850,24,0.49419973604381084,38,cs,1
850,24,0.485439011012204,38,cs,2
850,24,0.42470298102125525,39,cs,0
850,24,0.4388389479718171,39,cs,1
850,24,0.4819974640267901,39,cs,2
850,24,0.4326574300066568,40,cs,0
850,24,0.4563543599797413,40,cs,1
850,24,0.44120080600259826,40,cs,2
